ZipCode,City,StateCode,Zone,DeliveryDays
Postal Code,Place Name,State Abbreviation,,
02553,Monument Beach,MA,Eastern,2
02554,Nantucket,MA,Eastern,2
02556,North Falmouth,MA,Eastern,2
02557,Oak Bluffs,MA,Eastern,2
02558,Onset,MA,Eastern,2
02559,Pocasset,MA,Eastern,2
02561,Sagamore,MA,Eastern,2
02562,Sagamore Beach,MA,Eastern,2
02563,Sandwich,MA,Eastern,2
02564,Siasconset,MA,Eastern,2
02565,Silver Beach,MA,Eastern,2
02568,Vineyard Haven,MA,Eastern,2
02571,Wareham,MA,Eastern,2
02573,Vineyard Haven,MA,Eastern,2
02574,West Falmouth,MA,Eastern,2
02575,West Tisbury,MA,Eastern,2
02576,West Wareham,MA,Eastern,2
02584,Nantucket,MA,Eastern,2
02601,Hyannis,MA,Eastern,2
02630,Barnstable,MA,Eastern,2
02631,Brewster,MA,Eastern,2
02632,Centerville,MA,Eastern,2
02633,Chatham,MA,Eastern,2
02634,Centerville,MA,Eastern,2
02635,Cotuit,MA,Eastern,2
02636,Centerville,MA,Eastern,2
02637,Cummaquid,MA,Eastern,2
02638,Dennis,MA,Eastern,2
02639,Dennis Port,MA,Eastern,2
02641,East Dennis,MA,Eastern,2
02642,Eastham,MA,Eastern,2
02643,East Orleans,MA,Eastern,2
02644,Forestdale,MA,Eastern,2
02645,Harwich,MA,Eastern,2
02646,Harwich Port,MA,Eastern,2
02647,Hyannis Port,MA,Eastern,2
02648,Marstons Mills,MA,Eastern,2
02649,Mashpee,MA,Eastern,2
02650,North Chatham,MA,Eastern,2
02651,North Eastham,MA,Eastern,2
02652,North Truro,MA,Eastern,2
02653,Orleans,MA,Eastern,2
02655,Osterville,MA,Eastern,2
02657,Provincetown,MA,Eastern,2
02659,South Chatham,MA,Eastern,2
02660,South Dennis,MA,Eastern,2
02661,South Harwich,MA,Eastern,2
02662,South Orleans,MA,Eastern,2
02663,South Wellfleet,MA,Eastern,2
02664,South Yarmouth,MA,Eastern,2
02666,Truro,MA,Eastern,2
02667,Wellfleet,MA,Eastern,2
02668,West Barnstable,MA,Eastern,2
02669,West Chatham,MA,Eastern,2
02670,West Dennis,MA,Eastern,2
02671,West Harwich,MA,Eastern,2
02672,West Hyannisport,MA,Eastern,2
02673,West Yarmouth,MA,Eastern,2
02675,Yarmouth Port,MA,Eastern,2
02702,Assonet,MA,Eastern,2
02703,Attleboro,MA,Eastern,2
02712,Chartley,MA,Eastern,2
02713,Cuttyhunk,MA,Eastern,2
02714,Dartmouth,MA,Eastern,2
02715,Dighton,MA,Eastern,2
02717,East Freetown,MA,Eastern,2
02718,East Taunton,MA,Eastern,2
02719,Fairhaven,MA,Eastern,2
02720,Fall River,MA,Eastern,2
02721,Fall River,MA,Eastern,2
02722,Fall River,MA,Eastern,2
02723,Fall River,MA,Eastern,2
02724,Fall River,MA,Eastern,2
02725,Somerset,MA,Eastern,2
02726,Somerset,MA,Eastern,2
02738,Marion,MA,Eastern,2
02739,Mattapoisett,MA,Eastern,2
02740,New Bedford,MA,Eastern,2
02741,New Bedford,MA,Eastern,2
02742,New Bedford,MA,Eastern,2
02743,Acushnet,MA,Eastern,2
